"STATISTIC","Statistic","TLIST(Q1)","Quarter","C02343V02817","Area","UNIT","VALUE"
"HSQ06C1","New House Prices","19751","1975Q1","-","National","Euro","11887"
"HSQ06C1","New House Prices","19751","1975Q1","01","Dublin","Euro","11858"
"HSQ06C1","New House Prices","19751","1975Q1","02","Cork","Euro","10667"
"HSQ06C1","New House Prices","19751","1975Q1","03","Galway","Euro","13519"
"HSQ06C1","New House Prices","19751","1975Q1","04","Limerick","Euro","12565"
"HSQ06C1","New House Prices","19751","1975Q1","05","Waterford","Euro","11090"
"HSQ06C1","New House Prices","19751","1975Q1","06","Other areas","Euro","11428"
"HSQ06C1","New House Prices","19752","1975Q2","-","National","Euro","12837"
"HSQ06C1","New House Prices","19752","1975Q2","01","Dublin","Euro","12804"
"HSQ06C1","New House Prices","19752","1975Q2","02","Cork","Euro","12131"
"HSQ06C1","New House Prices","19752","1975Q2","03","Galway","Euro","14306"
"HSQ06C1","New House Prices","19752","1975Q2","04","Limerick","Euro","12714"
"HSQ06C1","New House Prices","19752","1975Q2","05","Waterford","Euro","12366"
"HSQ06C1","New House Prices","19752","1975Q2","06","Other areas","Euro","12956"
"HSQ06C1","New House Prices","19753","1975Q3","-","National","Euro","13269"
"HSQ06C1","New House Prices","19753","1975Q3","01","Dublin","Euro","13153"
"HSQ06C1","New House Prices","19753","1975Q3","02","Cork","Euro","12567"
"HSQ06C1","New House Prices","19753","1975Q3","03","Galway","Euro","14248"
"HSQ06C1","New House Prices","19753","1975Q3","04","Limerick","Euro","13643"
"HSQ06C1","New House Prices","19753","1975Q3","05","Waterford","Euro","12526"
"HSQ06C1","New House Prices","19753","1975Q3","06","Other areas","Euro","13521"
"HSQ06C1","New House Prices","19754","1975Q4","-","National","Euro","13892"
"HSQ06C1","New House Prices","19754","1975Q4","01","Dublin","Euro","13835"
"HSQ06C1","New House Prices","19754","1975Q4","02","Cork","Euro","14194"
"HSQ06C1","New House Prices","19754","1975Q4","03","Galway","Euro","15176"
"HSQ06C1","New House Prices","19754","1975Q4","04","Limerick","Euro","13337"
"HSQ06C1","New House Prices","19754","1975Q4","05","Waterford","Euro","13516"
